Name,Latitude,Longitude
Abbeville__SC,34.213809,-82.46046
Acadia__LA,30.291497,-92.411037
Accomack__VA,37.765944,-75.757807
Ada__ID,43.451477,-116.244376
Adair__IA,41.328528,-94.478164
Adair__KY,37.105559,-85.28138
Adair__MO,40.190666,-92.603592
Adair__OK,35.898043,-94.651026
Adams__CO,39.874325,-104.331872
Adams__ID,44.877004,-116.461624
Adams__IL,39.986052,-91.194961
Adams__IN,40.745733,-84.93613
Adams__IA,41.021656,-94.696906
Adams__MS,31.486218,-91.351781
Adams__NE,40.520632,-98.500044
Adams__ND,46.096815,-102.533198
Adams__OH,38.834468,-83.478082
Adams__PA,39.869471,-77.21773
Adams__WA,47.011238,-118.512861
Adams__WI,43.973763,-89.767223
Addison__VT,44.031248,-73.141581
Aiken__SC,33.550013,-81.632983
Aitkin__MN,46.602446,-93.41976
Alachua__FL,29.67574,-82.357221
Alamance__NC,36.043954,-79.400573
Alameda__CA,37.648327,-121.912928
Alamosa__CO,37.568442,-105.788041
Albany__NY,42.58824,-73.97401
Albany__WY,41.665514,-105.721883
Albermarle__VA,38.024184,-78.553506
Alcona__MI,44.682535,-82.83408
Alcorn__MS,34.886569,-88.581109
Aleutians_East__AK,55.245044,-161.997477
Aleutians_West__AK,51.959447,178.338813
Alexander__IL,37.183657,-89.349516
Alexander__NC,35.920951,-81.177467
Alexandria__VA,38.820071,-77.084063
Alfalfa__OK,36.729703,-98.323445
Alger__MI,47.080077,-86.564108
Allamakee__IA,43.274964,-91.382751
Allegan__MI,42.595787,-86.634745
Allegany__MD,39.612313,-78.703104
Allegany__NY,42.247853,-78.026153
Alleghany__NC,36.489356,-81.132299
Alleghany__VA,37.787905,-80.008669
Allegheny__PA,40.469757,-79.980451
Allen__IN,41.091855,-85.07223
Allen__KS,37.884228,-95.300945
Allen__KY,36.75077,-86.192458
Allen__OH,40.771627,-84.106103
Allen__LA,30.652744,-92.819605
Allendale__SC,32.979784,-81.363421
Alpena__MI,44.894954,-83.426574
Alpine__CA,38.621783,-119.798352
Amador__CA,38.44355,-120.653856
Amelia__VA,37.331927,-77.977462
Amherst__VA,37.62861,-79.154281
Amite__MS,31.203933,-90.795542
Anchorage__AK,61.17425,-149.284329
Anderson__KS,38.215114,-95.292046
Anderson__KY,38.005396,-84.986417
Anderson__SC,34.521235,-82.638603
Anderson__TN,36.116731,-84.195418
Anderson__TX,31.841261,-95.661726
Andrew__MO,39.988863,-94.803551
Andrews__TX,32.312258,-102.640206
Androscoggin__ME,44.167681,-70.207435
Angelina__TX,31.251951,-94.611056
Anne_Arundel__MD,38.993579,-76.560484
Anoka__MN,45.27411,-93.242723
Anson__NC,34.974996,-80.109959
Antelope__NE,42.183225,-98.058037
Antrim__MI,45.005455,-85.175639
Apache__AZ,35.385084,-109.490172
Appanoose__IA,40.744296,-92.873061
Appling__GA,31.739712,-82.290103
Appomattox__VA,37.370725,-78.81094
Aransas__TX,28.104225,-96.977983
Arapahoe__CO,39.644554,-104.331706
Archer__TX,33.616305,-98.687267
Archuleta__CO,37.202395,-107.050863
Arenac__MI,44.036833,-83.740675
Arkansas__AR,34.28957,-91.376547
Arlington__VA,38.878337,-77.100703
Armstrong__PA,40.81238,-79.464129
Armstrong__TX,34.964179,-101.356636
Aroostook__ME,46.727082,-68.649426
Arthur__NE,41.571944,-101.695898
Ascension__LA,30.206444,-90.912502
Ashe__NC,36.443469,-81.499334
Ashland__OH,40.843274,-82.270127
Ashland__WI,46.544424,-90.679691
Ashley__AR,33.190835,-91.772267
Ashtabula__OH,41.906637,-80.745592
Asotin__WA,46.181861,-117.227781
Assumption__LA,29.898853,-91.052465
Atascosa__TX,28.891397,-98.535381
Atchison__KS,39.532544,-95.313397
Atchison__MO,40.431846,-95.437555
Athens__OH,39.332604,-82.045844
Atkinson__GA,31.296861,-82.878199
Atlantic__NJ,39.469354,-74.633758
Atoka__OK,34.392469,-96.036558
Attala__MS,33.09047,-89.588622
Audrain__MO,39.21448,-91.843415
Audubon__IA,41.679178,-94.904312
Auglaize__OH,40.561309,-84.224018
Augusta__VA,38.171911,-79.147557
Aurora__SD,43.724719,-98.577587
Austin__TX,29.891901,-96.27017
Autauga__AL,32.532237,-86.64644
Avery__NC,36.07209,-81.920285
Avoyelles__LA,31.085094,-91.993797
Baca__CO,37.306693,-102.537758
Bacon__GA,31.55021,-82.451433
Bailey__TX,34.067521,-102.830345
Baker__FL,30.324442,-82.302284
Baker__GA,31.31958,-84.454881
Baker__OR,44.703427,-117.691933
Baldwin__AL,30.659218,-87.746067
Baldwin__GA,33.05949,-83.255457
Ballard__KY,37.051323,-89.010367
Baltimore_City__MD,39.300032,-76.610476
Baltimore_County__MD,39.443167,-76.616569
Bamberg__SC,33.203021,-81.053161
Bandera__TX,29.756389,-99.248285
Banks__GA,34.351922,-83.498441
Banner__NE,41.53975,-103.726263
Bannock__ID,42.692921,-112.228982
Baraga__MI,46.695859,-88.36181
Barber__KS,37.222906,-98.685052
Barbour__AL,31.870253,-85.405104
Barbour__WV,39.139725,-79.996947
Barnes__ND,46.94255,-98.070195
Barnstable__MA,41.798819,-70.211083
Barnwell__SC,33.260552,-81.434228
Barren__KY,36.963671,-85.925162
Barron__WI,45.437192,-91.852892
Barrow__GA,33.992009,-83.712303
Barry__MI,42.582811,-85.31455
Barry__MO,36.699378,-93.834326
Bartholomew__IN,39.205843,-85.897999
Barton__KS,38.481239,-98.767837
Barton__MO,37.500799,-94.344089
Bartow__GA,34.240917,-84.838188
Bastrop__TX,30.100771,-97.310643
Bates__MO,38.257217,-94.339246
Bath__KY,38.152249,-83.737641
Bath__VA,38.068368,-79.731203
Baxter__AR,36.28071,-92.330438
Bay__FL,30.238117,-85.63143
Bay__MI,43.699711,-83.978701
Bayfield__WI,46.634199,-91.177282
Baylor__TX,33.618921,-99.207848
Beadle__SD,44.418265,-98.279422
Bear_Lake__ID,42.285892,-111.327517
Beaufort__NC,35.482313,-76.842014
Beaufort__SC,32.358147,-80.68932
Beauregard__LA,30.645018,-93.340253
Beaver__OK,36.748334,-100.483056
Beaver__PA,40.68414,-80.350721
Beaver__UT,38.357535,-113.238948
Beaverhead__MT,45.133863,-112.892869
Becker__MN,46.937629,-95.741757
Beckham__OK,35.270601,-99.690057
Bedford__PA,39.99862,-78.494751
Bedford__TN,35.51366,-86.458294
Bedford_Co__VA,37.312223,-79.527078
Bee__TX,28.416077,-97.742586
Belknap__NH,43.519109,-71.425366
Bell__KY,36.72268,-83.681046
Bell__TX,31.042268,-97.481392
Belmont__OH,40.017682,-80.967727
Beltrami__MN,47.879508,-95.00505
Ben_Hill__GA,31.740775,-83.14719
Benewah__ID,47.218451,-116.633541
Bennett__SD,43.186912,-101.677181
Bennington__VT,43.035325,-73.11146
Benson__ND,48.071743,-99.351152
Bent__CO,37.931891,-103.077584
Benton__AR,36.337825,-94.256187
Benton__IN,40.600945,-87.314846
Benton__IA,42.092547,-92.05763
Benton__MN,45.701225,-94.001439
Benton__MS,34.810518,-89.200285
Benton__MO,38.301036,-93.287942
Benton__OR,44.493882,-123.424664
Benton__TN,36.069253,-88.071212
Benton__WA,46.22812,-119.516666
Benzie__MI,44.648621,-86.494317
Bergen__NJ,40.959698,-74.074727
Berkeley__SC,33.2077,-79.953655
Berkeley__WV,39.448054,-78.037776
Berks__PA,40.413957,-75.92686
Berkshire__MA,42.375314,-73.213948
Bernalillo__NM,35.054002,-106.669064
Berrien__GA,31.288652,-83.22787
Berrien__MI,41.792639,-86.741822
Bertie__NC,36.059043,-76.962364
Bethel__AK,60.929141,-160.152625
Bexar__TX,29.448671,-98.520147
Bibb__AL,33.015893,-87.127148
Bibb__GA,32.808844,-83.694193
Bienville__LA,32.340952,-93.041151
Big_Horn__MT,45.407869,-107.518163
Big_Horn__WY,44.525117,-107.994848
Big_Stone__MN,45.419925,-96.402226
Billings__ND,47.007044,-103.364016
Bingham__ID,43.216357,-112.399206
Black_Hawk__IA,42.471541,-92.308033
Blackford__IN,40.472672,-85.32373
