Name,Latitude,Longitude,Color
Arizona Diamondbacks,33.445277777778,-112.06694444444,#a71931
Atlanta Braves,33.8907,-84.4678,#ce1142
Baltimore Orioles,39.283888888889,-76.621666666667,#df4601
Boston Red Sox,42.346388888889,-71.0975,#cc122c
Chicago Cubs,41.948333333333,-87.655555555556,#cc3433
Chicago White Sox,41.83,-87.633888888889,#c4ced4
Cincinnati Reds,39.0975,-84.506666666667,#c6011f
Cleveland Indians,41.495833333333,-81.685277777778,#e31937
Colorado Rockies,39.756111111111,-104.99416666667,#31006f
Detroit Tigers,42.339166666667,-83.048611111111,#0c2c56
Houston Astros,29.756944444444,-95.355555555556,#002d62
Kansas City Royals,39.051388888889,-94.480555555556,#004687
Los Angeles Angels of Anaheim,33.800277777778,-117.88277777778,#ba0021
Los Angeles Dodgers,34.073611111111,-118.24,#005a9c
Miami Marlins,25.778056,-80.219722,#0077c8
Milwaukee Brewers,43.028333333333,-87.971111111111,#0a2351
Minnesota Twins,44.981667,-93.278333,#002b5d
New York Mets,40.756986,-73.845783,#002d72
New York Yankees,40.829569,-73.926392,#003087
Oakland Athletics,37.751666666667,-122.20055555556,#003831
Philadelphia Phillies,39.905833333333,-75.166388888889,#284898
Pittsburgh Pirates,40.446944444444,-80.005833333333,#fdb827
San Diego Padres,32.707333,-117.156944,#05143f
San Francisco Giants,37.778333333333,-122.38944444444,#000001
Seattle Mariners,47.591388888889,-122.3325,#005c5c
St. Louis Cardinals,38.6225,-90.193056,#c41e3a
Tampa Bay Rays,27.768333333333,-82.653333333333,#092c5c
Texas Rangers,32.751388888889,-97.082777777778,#c0111f
Toronto Blue Jays,43.641388888889,-79.389166666667,#134a8e
Washington Nationals,38.872778,-77.0075,#11225b
