Name,Latitude,Longitude,Color
Air Force,38.997053,-104.84365,#0055fb
Akron,41.03941,-81.456087,#00285e
Alabama,33.207659,-87.550446,#7d110d
Appalachian St.,36.2115759,-81.6856134,#ffce00
Arizona,32.228837,-110.948808,#003369
Arizona State,33.426441,-111.932553,#ffb310
Arkansas,36.068117,-94.178935,#7d110a
Arkansas State,35.848969,-90.667173,#cd1429
Army,41.387568,-73.964152,#d4bf91
Auburn,32.602227,-85.489166,#002b5c
Ball State,40.21599,-85.416771,#c22035
Baylor,31.530273,-97.148441,#0d4018
Boise State,43.602851,-116.195855,#ff571f
Boston College,42.335132,-71.166435,#98002e
Bowling Green,41.378088,-83.622473,#ff5200
Buffalo,42.999131,-78.777514,#041a9b
BYU,40.257537,-111.654514,#002255
California,37.870984,-122.25076,#ffc72c
Central Michigan,43.577618,-84.77083,#71273d
Charlotte,35.3105289,-80.7401776,#00703c
Cincinnati,39.13123,-84.516147,#252521
Clemson,34.678745,-82.843179,#522d80
Coastal Carolina,33.792419,-79.017561,#006f71
Colorado,40.009463,-105.266911,#d2c694
Colorado State,40.562084,-105.14162,#187031
Connecticut,41.759583,-72.618802,#192b5f
Duke,35.995351,-78.94171,#0736a4
East Carolina,35.59649,-77.365264,#592a86
Eastern Michigan,42.255942,-83.647375,#006a34
Florida,29.649945,-82.348629,#003087
Florida Atlantic,26.193083,-80.160999,#003367
Florida International,25.752489,-80.377891,#002d62
Florida State,30.438182,-84.304405,#540115
Fresno State,36.814386,-119.75803,#da062e
Georgia,33.949825,-83.373319,#da291c
Georgia Southern,32.4121754,-81.7829669,#000066
Georgia State,33.7355288,-84.3894839,#0039a7
Georgia Tech,33.772539,-84.392865,#c59353
Hawaii,21.372878,-157.929969,#024731
Houston,29.721967,-95.349253,#cc0001
Idaho,46.726325,-117.017629,#8f6f4d
Illinois,40.099295,-88.235952,#002675
Indiana,39.180859,-86.525644,#7d110c
Iowa,41.658654,-91.551058,#252520
Iowa State,42.014004,-93.63577,#a71930
Kansas,38.963026,-95.246364,#0022b4
Kansas State,39.187438,-96.584283,#512888
Kent State,41.139085,-81.313401,#003876
Kentucky,38.022746,-84.505161,#0039a6
Louisiana Tech,32.532124,-92.655927,#0022b3
Louisiana Lafayette,30.215849,-92.04171,#cf202f
Louisiana Monroe,32.530887,-92.065993,#872435
Louisville,38.205905,-85.758799,#bdbdbd
LSU,30.412047,-91.183804,#472f92
Marshall,38.424938,-82.420943,#235937
Maryland,38.990178,-76.947205,#f50030
Memphis,35.1211,-89.977408,#0a1691
Miami (Florida),25.957936,-80.238793,#005030
Miami (Ohio),39.519564,-84.732924,#f50031
Michigan,42.265929,-83.748791,#ffcb05
Michigan State,42.728188,-84.484863,#18453b
Middle Tennessee,35.851157,-86.36815,#0066cc
Minnesota,44.976902,-93.224637,#ffcc33
Mississippi,34.362002,-89.53424,#cc092f
Mississippi State,33.45632,-88.793426,#660001
Missouri,38.935837,-92.333168,#f1b82d
Navy,38.984744,-76.507133,#1d1756
