Name,Latitude,Longitude,Color
Anaheim Ducks,33.8078,-117.877,#F95602
Arizona Coyotes,33.5319,-112.261,#8C2633
Boston Bruins,42.3663,-71.0622,#FCB514
Buffalo Sabres,42.875,-78.8764,#002655
Calgary Flames,51.0375,-114.052,#B72B35
Carolina Hurricanes,35.8033,-78.7219,#000000
Chicago Blackhawks,41.8806,-87.6742,#222222
Colorado Avalanche,39.7486,-105.007,#6F263D
Columbus Blue Jackets,39.9693,-83.0061,#002654
Dallas Stars,32.7906,-96.8103,#006847
Detroit Red Wings,42.3253,-83.0514,#CD1126
Edmonton Oilers,53.5714,-113.456,#FF4C00
Florida Panthers,26.1583,-80.3256,#041E42
Los Angeles Kings,34.0431,-118.267,#111111
Minnesota Wild,44.9447,-93.1011,#004F30
Montreal Canadiens,45.4961,-73.5694,#AF1E2D
Nashville Predators,36.1592,-86.7786,#FFB81C
New Jersey Devils,40.7336,-74.1711,#CE1126
New York Islanders,40.7228,-73.5906,#00529B
New York Rangers,40.7506,-73.9936,#0038A8
Ottawa Senators,45.2969,-75.9272,#E31837
Philadelphia Flyers,39.9011,-75.1719,#F74902
Pittsburgh Penguins,40.4394,-79.9892,#CFC493
San Jose Sharks,37.3328,-121.901,#006D75
St. Louis Blues,38.6267,-90.2025,#002F87
Tampa Bay Lightning,27.9428,-82.4519,#002868
Toronto Maple Leafs,43.6433,-79.3792,#003E7E
Vancouver Canucks,49.2778,-123.109,#001F5C
Las Vegas Knights,36.1026,-115.1783,#B4975A
Washington Capitals,38.8981,-77.0208,#CF0A2C
Winnipeg Jets,49.8928,-97.1436,#041E41
